-10.3938223483	66.7770549012	66.8833142899	-10.2758208432	66.6707955125	-10.5118238533	25.7972361695	102	318	0	26	1.50593871198
-10.9018711096	66.364562996	66.6707955125	-10.5118238533	66.0583304795	-11.2919183658	76.4671812037	102	318	0	26	1.51236466901
-11.2683083641	65.6997479944	66.0583304795	-11.2919183658	65.3411655093	-11.2446983623	79.7744805135	102	318	0	26	1.5311751451
-11.6161261709	65.1125290206	65.3411655093	-11.2446983623	64.8838925319	-11.9875539795	61.5926303533	102	318	0	26	1.54925268737
-12.3511983689	64.6802642648	64.8838925319	-11.9875539795	64.4766359977	-12.7148427584	56.9809706769	102	318	0	26	1.56370278664
-13.3736798873	64.1488795385	64.4766359977	-12.7148427584	63.8211230793	-14.0325170161	96.921343586	102	318	0	26	1.57671781601
-14.8458217604	63.5234479899	63.8211230793	-14.0325170161	63.2257729006	-15.6591265047	104.325502032	102	318	0	26	1.59797247452
-16.5273354044	62.7867245897	63.2257729006	-15.6591265047	62.3476762789	-17.3955443042	131.634108305	102	318	0	26	1.61849524043
-17.753760578	62.0709366352	62.3476762789	-17.3955443042	61.7941969915	-18.1119768518	71.970739707	102	318	0	26	1.6458268556
-18.3956140417	61.6458490095	61.7941969915	-18.1119768518	61.4975010275	-18.6792512317	44.5624572594	102	318	0	26	1.6615045839
-19.0178107817	61.3725584175	61.4975010275	-18.6792512317	61.2476158076	-19.3563703316	45.533760332	102	318	0	26	1.67041299673
-20.139195329	60.8724495569	61.2476158076	-19.3563703316	60.4972833062	-20.9220203264	118.914394595	102	318	0	26	1.6784777124
-21.3845576669	60.2531357362	60.5175186552	-21.0709034143	59.9887528173	-21.6982119196	68.2254813162	102	318	0	26	1.70082108251
-22.1587106298	59.8521209694	59.9801406438	-22.0041553859	59.724101295	-22.3132658737	33.2948829169	102	318	0	26	1.71597704505
-22.9033352958	59.4132155168	59.7750315792	-22.5267012757	59.0513994543	-23.2799693158	91.0536525869	102	318	0	26	1.72215791134
-24.0096114864	58.7253825119	59.1200127333	-23.504741261	58.3307522906	-24.5144817118	105.352273037	102	318	0	26	1.73975066948
-24.9863576473	58.1394646898	58.3887677123	-24.7733257004	57.8901616673	-25.1993895942	60.8212423377	102	318	0	26	1.75944494728
-25.2913286742	57.9264347983	57.8901616673	-25.1993895942	57.9627079294	-25.3832677542	13.5259359011	102	318	0	26	1.77154336879
-25.6161209866	57.7744134442	57.9627079294	-25.3832677542	57.586118959	-25.848974219	50.1599296962	102	318	0	26	1.77039263272
-2.88917563097	69.0075307253	69.5503075798	-4.07903725388	68.4647538707	-1.69931400806	153.460058886	102	301	0	26	1.40994829406
-0.389930032716	68.7428601024	68.4647538707	-1.69931400806	69.0209663341	0.919453942624	122.341625248	102	301	0	26	1.42718325089
1.47178729254	69.1051137425	69.0209663341	0.919453942624	69.189261151	2.02412064245	47.6377584046	102	301	0	26	1.39989751958
2.48588069968	69.2754501603	69.189261151	2.02412064245	69.3616391697	2.9476407569	41.0844375096	102	301	0	26	1.38993029203
3.58623019173	69.4426072556	69.3616391697	2.9476407569	69.5235753414	4.22481962656	53.0184135629	102	301	0	26	1.38070517987
4.71960692357	69.6222753213	69.5235753414	4.22481962656	69.7209753012	5.21439422058	44.1565013725	102	301	0	26	1.36980066679
6.24203622379	69.8601226927	69.7209753012	5.21439422058	69.9992700842	7.269678227	84.5493973231	102	301	0	26	1.35941988472
8.07180920416	70.0981946947	69.9992700842	7.269678227	70.1971193052	8.87394018132	64.5842658294	102	301	0	26	1.34099318872
9.2954768201	70.2585495312	70.1971193052	8.87394018132	70.3199797572	9.71701345887	34.4860179287	102	301	0	26	1.32687854706
10.1658662135	70.4071947919	70.3199797572	9.71701345887	70.4944098266	10.6147189681	38.685959068	102	301	0	26	1.31890792978
11.3719269562	70.5773339213	70.4944098266	10.6147189681	70.6602580161	12.1291349443	58.9539655656	102	301	0	26	1.3092731643
13.082567099	70.7726909481	70.6602580161	12.1291349443	70.8851238801	14.0359992537	74.1643611376	102	301	0	26	1.29611888731
14.3222511851	70.8805003233	70.8851238801	14.0359992537	70.8758767666	14.6085031165	20.8762965176	102	301	0	26	1.27892628371
14.9379378377	70.9118278848	70.8758767666	14.6085031165	70.947779003	15.2673725588	25.2573532694	102	301	0	26	1.27560482597
15.2480640863	70.9673178045	70.947779003	15.2673725588	70.9868566059	15.2287556137	4.56529883438	102	301	0	26	1.2697178683
15.2037298057	71.0453044848	70.9868566059	15.2287556137	71.1037523636	15.1787039976	13.1233431649	102	301	0	26	1.26900255534
15.6203560885	71.1696942177	71.1037523636	15.1787039976	71.2356360717	16.0620081795	34.9289619774	102	301	0	26	1.26645082037
15.077455752	72.1332796222	71.2356360717	16.0620081795	73.0309231727	14.0929033245	210.599585194	102	301	0	26	1.25767399751
14.0099076899	73.2628377979	73.0309231727	14.0929033245	73.4947524231	13.9269120553	51.8486614322	102	301	0	26	1.22577582575
14.01906984	73.6252152324	73.4947524231	13.9269120553	73.7556780417	14.1112276248	29.5833407433	102	301	0	26	1.21537352792
14.1867169441	73.8530834037	73.7556780417	14.1112276248	73.9504887658	14.2622062633	22.1593955158	102	301	0	26	1.20793003172
14.4815459826	73.9628846293	73.9504887658	14.2622062633	73.9752804928	14.7008857018	13.7547322878	102	301	0	26	1.2023111737
14.8091752676	74.0662126166	73.9752804928	14.7008857018	74.1571447404	14.9174648334	21.2756571603	102	301	0	26	1.1991925772
15.3281670012	74.2533356733	74.1571447404	14.9174648334	74.3495266062	15.738869169	32.7412179715	102	301	0	26	1.19353691442
15.62033129	74.5201509439	74.4758735529	15.4258679235	74.5644283349	15.8147946565	15.1719830835	102	301	0	26	1.18292825211
15.5590986308	74.8368564166	74.5644283349	15.8147946565	75.1092844983	15.3034026051	62.3838399821	102	301	0	26	1.17857375667
15.2150015087	75.1728115355	75.1092844983	15.3034026051	75.2363385728	15.1266004122	14.9968172782	102	301	0	26	1.16840363791
-9.29728274669	67.2561844697	66.8833142899	-10.2758208432	67.6290546495	-8.31874465018	118.119394267	907	102	0	26	1.50175574444
-7.28018465816	68.0100720093	67.6290546495	-8.31874465018	68.391089369	-6.24162466614	121.064041464	907	102	0	26	1.47432122343
-5.81622139599	68.6948889765	68.391089369	-6.24162466614	68.998688584	-5.39081812584	75.8018091002	907	102	0	26	1.44549843355
-4.74864003912	69.2703239857	68.998688584	-5.39081812584	69.5419593874	-4.1064619524	78.7659779059	907	102	0	26	1.42582096702
-4.09274960314	69.5461334836	69.5419593874	-4.1064619524	69.5503075798	-4.07903725388	1.41326529727	907	102	0	26	1.4057756154
